Date,High,Low,Mid,Last,Bid,Ask,Volume
2018-08-11,5689.0,5259.9,5595.8,5595.8,5595.7,5595.9,2577.55694991
2018-08-10,5720.0,5266.7,5351.35,5348.91605002,5351.3,5351.4,3303.72114046
2018-08-09,5749.99997978,5334.0,5730.7,5737.0,5730.6,5730.8,2080.74315675
2018-08-08,5807.5,5277.68478214,5398.6,5402.7,5398.5,5398.7,3278.00916078
2018-08-07,6161.60000116,5757.6,5816.15,5816.19325469,5816.1,5816.2,1967.5578834
2018-08-06,6182.7,5924.79999341,5945.5,5942.3,5945.0,5946.0,1130.81641672
2018-08-05,6118.18514757,5948.61928014,6081.35,6081.9,6081.1,6081.6,802.14974904
2018-08-04,6467.29997841,5983.06774302,6052.35,6046.35276381,6052.3,6052.4,1567.20298239
2018-08-03,6535.00000177,6284.74055209,6420.8,6420.79633156,6420.7,6420.9,1920.75599837
2018-08-02,6613.3524351,6417.0,6520.1,6520.13250201,6520.0,6520.2,1858.19774692
2018-08-01,6672.0,6381.39841358,6494.0,6504.1,6493.9,6494.1,1588.86711399
2018-07-31,6999.1,6549.99999422,6594.4,6595.7,6594.3,6594.5,2845.82909745
2018-07-30,7120.6,6711.7,6990.7,6991.41344697,6990.6,6990.8,2138.31595142
2018-07-29,7131.5999985,6959.05533604,7025.6,7025.60766926,7025.5,7025.7,339.22421572
2018-07-28,7094.03157691,6912.02771854,7032.1,7032.16227852,7032.0,7032.2,585.54101943
2018-07-27,7109.5,6712.39997842,7079.4,7072.49316651,7079.3,7079.5,1614.13855222
2018-07-26,7132.5,6808.47651633,6827.15,6826.0,6826.0,6828.3,1846.60041666
2018-07-25,7273.90002168,6901.0,7056.4,7050.3,7056.3,7056.5,2860.46886638
2018-07-24,7138.6,6574.8,7122.9,7122.82185323,7122.8,7123.0,3515.26434589
2018-07-23,6678.3,6284.3,6616.65,6614.4,6616.5,6616.8,5555.60708244
2018-07-22,6454.3,6248.9,6318.85,6318.9,6318.8,6318.9,538.46667815
2018-07-21,6356.56847,6154.48719135,6324.0,6317.61817715,6323.9,6324.1,498.94536003
2018-07-20,6563.00710133,6198.89222981,6268.65,6257.70120588,6268.6,6268.7,2164.23484896
2018-07-19,6489.4,6248.49997587,6427.95,6417.68584187,6427.9,6428.0,1630.80530554
2018-07-18,6512.10267969,6222.9,6311.4,6317.0,6311.3,6311.5,2401.97305862
